Task,Success,Time,Plan,
Change bedding,Yes,15.49,"[walk(bedroom74),walk(pillowcase011),grab(pillowcase011),walk(clothespile150),put(pillowcase011,clothespile150),walk(pillowcase012),grab(pillowcase012),walk(clothespile150),put(pillowcase012,clothespile150),walk(sheets01),grab(sheets01),walk(clothespile150),put(sheets01,clothespile150),walk(livingroom336),walk(pillowcase021),grab(pillowcase021),walk(pillowcase022),grab(pillowcase022),walk(sheets02),walk(bedroom74),walk(pillow188),put(pillowcase021,pillow188),walk(pillow189),put(pillowcase022,pillow189),walk(livingroom336),walk(sheets02),grab(sheets02),walk(bedroom74),walk(bed111),put(sheets02,bed111)]",
Added meat to freezer,No,,,
Hang up jacket,Yes,0.59,"[walk(bedroom74),walk(coat3205),grab(coat3205),walk(hanger115),put(coat3205,hanger115)]",
Do free-style dance routine,No,,,
Shampoo hair,Yes,0.61,"[walk(bathroom11),walk(shampoo3216),grab(shampoo3216),walk(bathtub39),sit(bathtub39),use(shampoo3216)]",
Shop,Yes,0.90,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Read them bedtime story,Yes,0.63,"[walk(bedroom74),walk(book192),grab(book192),walk(bed111),sit(bed111),use(book192)]",
Bake,No,,,
Have ice coffee,No,,,
Toast bread,Yes,1.08,"[walk(toaster309),switchon(toaster309),walk(breadslice310),grab(breadslice310),walk(toaster309),put(breadslice310,toaster309)]",
,,,,
Success Percentage:,70.91%,,,
Average Time,,2.14,,
